feature,mean,median,std,min,max,skew
WaterLevel,12.47902199074074,9.0,5.200186404163816,0.0,25.0,0.7687516279197979
WaterTemperature,27.319860300925928,27.38,1.3689342202440242,0.0,44.04,3.6136478002686245
Ec,741.2120916087963,697.07,85.66655913178519,0.0,940.63,0.7376462965630532
Tds,276.6819155092593,259.0,48.609815085903186,0.0,883.0,7.826258012176353
LightIntensity,602.4777009837964,606.67,348.79770001798005,11.1,1721.67,0.5104753188558268
Humidity,62.12251851851851,60.4,5.032032966047803,51.9,71.7,0.3590129218576004
Temperature,28.525834490740746,28.7,1.3890871370237527,0.0,30.1,-12.4278444882625
HeatIndex,24.065454861111114,24.34,1.3435002236435871,2.2,31.09,-4.56628389839933
AirQuality,457.35596643518517,441.0,57.011054981453846,345.0,641.0,1.0415809946271484
SoilHumidity1,14.713070023148148,11.34,6.600859266410125,5.56,34.02,0.791072333665298
SoilHumidity2,16.946138136574074,12.81,7.555225884786226,8.24,51.61,1.1376707105883137
